# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
179.62;6.982714373983469e-08
179.624;7.202489141578633e-08
179.62800000000001;7.393762701640375e-08
179.632;7.554127244620021e-08
179.636;7.681467369751606e-08
179.64000000000001;7.773985751037177e-08
179.644;7.830225032175928e-08
179.648;7.849085662179708e-08
179.65200000000002;7.829839435706456e-08
179.656;7.77213855777932e-08
179.66;7.676020110790162e-08
179.66400000000002;7.54190586172047e-08
179.668;7.370597408531593e-08
179.672;7.16326672584499e-08
179.67600000000002;6.921442230511947e-08
179.68;6.646990546629374e-08
179.684;6.342094206180819e-08
179.68800000000002;6.00922557498737e-08
179.692;5.651117343301191e-08
179.696;5.270729965476927e-08
179.70000000000002;4.87121647308652e-08
179.704;4.455885120046201e-08
179.708;4.0281603463242066e-08
179.71200000000002;3.591542568203583e-08
179.716;3.149567317587391e-08
179.72;2.705764260250675e-08
179.724;2.26361662316012e-08
179.728;1.826521553994919e-08
179.732;1.3977519219074282e-08
179.736;9.804200475560973e-09
179.74;5.774438228187674e-09
179.744;1.9151564673726664e-09
179.748;-1.749254353727167e-09
179.752;-5.197180475354512e-09
179.756;-8.409989607441627e-09
179.76;-1.1372194931877496e-08
179.764;-1.4071576500919553e-08
179.768;-1.6499258789802353e-08
179.772;-1.8649743764796228e-08
179.776;-2.0520899438059748e-08
179.78;-2.2113904489078268e-08
179.784;-2.343315013079526e-08
179.788;-2.44861009783691e-08
179.792;-2.5283117231745918e-08
179.796;-2.58372410022247e-08
179.8;-2.6163950090692723e-08
179.804;-2.6280882954609613e-08
179.808;-2.6207538976179532e-08
179.812;-2.5964958460314206e-08
179.816;-2.557538704363292e-08
179.82;-2.506192938145285e-08
179.824;-2.4448197096034016e-08
179.828;-2.3757956014780334e-08
179.832;-2.3014777701195218e-08
179.836;-2.2241700184692548e-08
179.84;-2.146090262942667e-08
179.844;-2.0693398449658438e-08
179.848;-1.9958751083307312e-08
179.852;-1.9274816280622955e-08
179.856;-1.8657514356560205e-08
179.86;-1.812063539942513e-08
179.864;-1.767567993132009e-08
179.868;-1.7331736985071638e-08
179.872;-1.709540100536832e-08
179.876;-1.69707284068232e-08
179.88;-1.6959234036910117e-08
179.88400000000001;-1.7059927205637804e-08
179.888;-1.7269386364859053e-08
179.892;-1.7581870956593535e-08
179.89600000000002;-1.798946840976406e-08
