# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
96.424;2.84763065215789e-07
96.428;2.9912823373422113e-07
96.432;3.1324281717574305e-07
96.436;3.2708227095116137e-07
96.44;3.406202411498422e-07
96.444;3.5382874672886554e-07
96.44800000000001;3.66678391182262e-07
96.452;3.791386007238541e-07
96.456;3.911778856540376e-07
96.46000000000001;4.0276412126726193e-07
96.464;4.138648443971034e-07
96.468;4.2444756149299235e-07
96.47200000000001;4.3448006397934376e-07
96.476;4.4393074656565256e-07
96.48;4.5276892415579033e-07
96.48400000000001;4.609651430461151e-07
96.488;4.684914822040424e-07
96.492;4.7532184057952925e-07
96.496;4.814322066187704e-07
96.5;4.868009064187985e-07
96.504;4.914088272793854e-07
96.508;4.95239613769785e-07
96.512;4.982798338269703e-07
96.516;5.00519112833122e-07
96.52;5.019502340768602e-07
96.524;5.025692044783639e-07
96.528;5.023752849461937e-07
96.532;5.013709852262797e-07
96.536;4.99562023594117e-07
96.54;4.969572522227696e-07
96.544;4.935685495250228e-07
96.548;4.894106812114724e-07
96.552;4.845011322213525e-07
96.556;4.788599120638154e-07
96.56;4.7250933644905993e-07
96.56400000000001;4.654737883866173e-07
96.568;4.5777946217837997e-07
96.572;4.4945409393344917e-07
96.57600000000001;4.405266823781706e-07
96.58;4.3102720382622276e-07
96.584;4.209863252094718e-07
96.58800000000001;4.10435119050524e-07
96.592;3.994047841832568e-07
96.596;3.8792637589964676e-07
96.60000000000001;3.7603054902227527e-07
96.604;3.6374731717497273e-07
96.608;3.511058312528752e-07
96.61200000000001;3.381341797819777e-07
96.616;3.248592135119173e-07
96.62;3.11306396209493e-07
96.624;2.9749968321999095e-07
96.628;2.83461428944709e-07
96.632;2.692123239523388e-07
96.636;2.5477136200536184e-07
96.64;2.4015583684666664e-07
96.644;2.2538136816245836e-07
96.648;2.1046195572131244e-07
96.652;1.954100602917722e-07
96.656;1.8023670956775433e-07
96.66;1.6495162698733226e-07
96.664;1.4956338102088506e-07
96.668;1.3407955223325406e-07
96.672;1.1850691519498407e-07
96.676;1.0285163213283721e-07
96.68;8.711945507180065e-08
96.684;7.131593313127867e-08
96.688;5.544662159790416e-08
96.69200000000001;3.951728940651287e-08
96.696;2.3534121718682637e-08
96.7;7.503914393540368e-09
96.70400000000001;-8.56574270370678e-09
96.708;-2.4666296416481632e-08
96.712;-4.078807766256708e-08
96.71600000000001;-5.692016780960357e-08
96.72;-7.305028611847398e-08
96.724;-8.916469998512856e-08
96.72800000000001;-1.0524815936191375e-07
96.732;-1.2128385637332469e-07
96.736;-1.3725341076377604e-07
96.74000000000001;-1.5313688143206123e-07
96.744;-1.6891280392423523e-07
96.748;-1.8455825337928033e-07
96.752;-2.00048932055494e-07
96.756;-2.1535928021529132e-07
96.76;-2.3046260881694152e-07
96.764;-2.453312521582409e-07
96.768;-2.599367383433849e-07
96.772;-2.742499752040276e-07
96.776;-2.882414491018449e-07
96.78;-3.0188143387543027e-07
96.784;-3.15140207071044e-07
